species	Merian	nb_fusion	nb_fission	size	chrom_size	tot_bp_A	tot_bp_B	avg_PC1	avg_insulation	avg_TAD_length	avg_ratio_inter_intra	avg_S	avg_slope_loglog_all	avg_slope_loglog_0_10	avg_R1_interchrom	avg_R1_interchrom_norRNA	strength
C0055	M10	1	1	16042308	17811176	6000000	9040000	-0.045386	0.0332289	284167	2.89278	2.35062	-0.559426	-0.673167	0.00140402	0.00141555	4.771964578
C0080	M10	6	5	15358248	70805572	3080000	11760000	-0.540974	0.133695	284075	1.19034	2.30767	-0.769792	-0.832509	5.09287e-4	5.04737e-4	4.093894114
C0100	M10	5	5	16358123	11970299	7240000	8480000	0.108879	0.0332235	300020	21.4962	2.2482	-0.55157	-0.55157	2.73907e-4	2.74186e-4	6.766810389
Eaethiops	M10	3	3	14890556	26157013	5760000	8120000	-0.116099	0.110483	325289	14.3957	2.63985	-0.414708	-0.500552	8.58961e-4	8.59464e-4	3.089590731
Ealbergana	M10	3	1	15545687	15675161	6080000	8120000	0.186797	0.0148017	1107670	1.96147	3.35698	-0.73756	-0.848013	0.00154549	0.00155116	6.767794787
Ebubastis	M10	0	0	16460396	16485031	10400000	5400000	0.259164	0.0499831	251794	17.4043	2.19507	-0.297718	-0.400036	2.39022e-4	2.36708e-4	5.783343837
Echristi	M10	6	4	18217018	18398781	10960000	6480000	0.241141	0.029876	285393	15.5658	2.48119	-0.466842	-0.585011	3.72169e-4	3.74603e-4	4.234724003
Edisa	M10	0	0	19020830	19188788	10400000	6840000	0.240819	0.0820047	323931	14.5726	2.09155	-0.388927	-0.521259	6.75157e-4	6.74193e-4	5.632976546
Eembla	M10	0	0	17594435	17776010	10440000	6040000	0.235491	0.0739915	309618	15.165	2.11189	-0.348489	-0.453123	0.00148896	0.00150728	4.958729251
Eepiphron	M10	8	4	16640309	55946633	NA	NA	NA	NA	276746	NA	NA	-0.949664	-0.997555	0.00118933	0.00117649	3.476424903
Eeriphyle	M10	1	0	16682347	16688256	7760000	8120000	0.222275	0.0488689	309077	9.0092	2.18723	-0.340278	-0.416266	7.49156e-4	7.53993e-4	8.17269172
Eflavofasciata	M10	6	4	18640921	60306531	NA	NA	NA	NA	354088	NA	NA	-0.71566	-0.71581	6.64351e-4	6.62745e-4	2.530640448
Egorge	M10	5	1	15677223	36499850	5600000	9480000	-0.173844	0.0522858	319542	6.11469	2.28664	-0.571723	-0.6231	6.98643e-4	6.96395e-4	3.794682534
Eligea	M10	1	0	16496273	16631695	8160000	7200000	0.262718	0.0381071	308980	0.801814	2.58184	-0.394454	-0.476741	0.00229189	0.0022978	5.828132931
Emanto	M10	0	0	16898406	16958820	6080000	10040000	-0.142005	0.0436319	301855	21.5092	2.39205	-0.400489	-0.568122	3.26041e-4	3.25647e-4	3.340670499
Emedusa	M10	5	3	15524859	57750468	1840000	13120000	-0.488027	0.0643139	307312	5.40279	2.23043	-0.56437	-0.627377	2.75386e-4	2.7621e-4	2.426281242
Emelampus	M10	2	1	15424094	35533038	9920000	4880000	0.249553	0.154687	297440	6.42167	2.27175	-0.641812	-0.651709	4.48451e-4	4.49602e-4	3.487225388
Emelancholica	M10	4	3	16008556	16020050	5640000	9880000	-0.159221	0.0360204	284630	21.5783	2.23267	-0.260851	-0.396454	7.64783e-4	7.65808e-4	3.863197407
Emeolans	M10	3	1	16269947	37484814	5640000	10120000	-0.233718	0.0350108	291073	6.07923	2.14751	-0.711545	-0.765046	3.64439e-4	3.61285e-4	3.377085594
Emnestra	M10	3	1	14583093	33953333	3160000	10840000	-0.380089	0.0207119	293532	6.18722	2.21791	-0.659168	-0.717784	4.03937e-4	4.05633e-4	3.507396663
Emontana	M10	4	3	17934100	18119714	11240000	5520000	0.253936	0.0821543	308965	18.38	2.28826	-0.39154	-0.494752	2.13687e-4	2.11591e-4	3.989923767
Epalarica	M10	3	1	16859927	39377617	8560000	7640000	0.203208	0.0366182	316875	3.70583	2.51043	-0.920509	-0.990117	0.00104723	0.0010688	2.905402055
Epharte	M10	8	4	24374963	46894978	9560000	4320000	0.407143	-0.022931	546410	1.22738	2.73384	-1.52679	-0.906685	0.00252667	0.00251644	3.157063263
Erondoui	M10	5	6	17228896	21840349	9760000	6400000	0.268088	0.047153	317942	13.7031	2.13888	-0.485633	-0.518533	6.43574e-4	6.43667e-4	4.812123608
Estirius	M10	4	3	16859526	17264052	10120000	5840000	0.229037	0.0538729	276305	9.33249	2.27057	-0.496333	-0.548576	4.88864e-4	4.83323e-4	4.551668119
Esudetica	M10	2	1	15655777	35197135	4360000	10520000	-0.363165	0.141899	269782	8.94146	2.33814	-0.60877	-0.67476	3.69606e-4	3.70528e-4	3.097135164
Etriaria	M10	5	3	15770119	31128320	5040000	9800000	-0.279686	0.0871992	296392	9.80075	2.24226	-0.765569	-0.781301	8.07603e-4	8.05206e-4	2.748720627
Mcinxia	M10	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mjurtina	M10	0	0	13165949	13186474	NA	NA	NA	NA	299857	27.3735	2.18098	-0.244704	-0.301417	3.72308e-4	3.72346e-4	4.709213447
X2575	M10	1	0	17711800	29977464	12720000	3920000	0.37055	-0.00634553	299737	1.54099	2.39715	-0.584763	-0.563728	0.00168346	0.00168538	5.094517934
X2576	M10	1	0	18672491	30594791	13240000	4040000	0.343979	0.00479716	326655	1.53616	2.40488	-0.583059	-0.593093	0.00176693	0.00177988	4.428962644
X3252	M10	0	0	17479227	17762016	5600000	10680000	-0.16147	0.0722654	346429	7.42139	2.50627	-0.241043	-0.348332	0.00127444	0.00127386	3.556662171
X3258	M10	6	5	15901274	35515812	6320000	8560000	0.0974365	0.05566	289509	3.37758	2.26727	-0.681488	-0.688061	0.00124133	0.00123932	4.195058238
X3311	M10	3	3	15344861	15708354	6760000	7960000	0.137581	0.0418918	293540	10.9393	2.22919	-0.388586	-0.463595	0.00175921	0.00171415	4.632767143
X3506	M10	3	3	17314256	17455240	8440000	7560000	0.262791	0.0366687	274836	1.44969	2.38484	-0.467098	-0.53247	8.83711e-4	8.98875e-4	7.935827141
X3531	M10	5	6	16313001	36500410	7160000	8120000	0.027582	0.0612454	289164	1.23033	2.35721	-0.768927	-0.73871	0.00131555	0.00130578	4.965675284
X3737	M10	6	5	15450969	34546244	7440000	7080000	0.27591	0.0518799	266464	1.95003	2.15072	-0.725676	-0.775544	0.00148013	0.00146555	6.038381517
C0001	M11	3	0	14608104	26426895	1600000	12680000	-0.548103	0.205055	272769	5.85419	2.41309	-0.43659	-0.505387	9.98975e-4	9.83313e-4	3.338632871
C0055	M11	1	2	16174455	9632780	7080000	7920000	0.00126532	0.0413498	264000	6.72133	2.14943	-0.256909	-0.256909	0.00141602	0.00142775	5.206596298
C0080	M11	4	10	17218771	70805572	6840000	9200000	-0.211923	-0.0479266	303964	0.738207	2.27686	-1.07273	-1.06299	5.51951e-4	5.55786e-4	4.336593747
C0100	M11	3	10	15597779	11130416	7920000	7080000	0.194139	0.0349782	276192	23.7422	2.1866	-0.445312	-0.445312	2.73284e-4	2.72894e-4	4.330174389
Eaethiops	M11	4	0	14933647	25576549	5920000	7840000	-0.1586	-0.0180686	313149	14.587	2.58829	-0.454899	-0.488256	8.52284e-4	8.5604e-4	3.419269094
Ealbergana	M11	4	0	14892931	43193744	6760000	6960000	0.0358637	0.0354632	722500	1.10124	3.34141	-0.992989	-1.04388	0.0016036	0.00160516	3.415066751
Ebubastis	M11	0	0	16856979	17155474	6840000	9200000	-0.158884	0.0540538	275475	16.6214	2.11964	-0.320091	-0.383544	2.444e-4	2.44129e-4	4.238860537
Echristi	M11	4	0	17964755	18157570	8400000	8960000	0.110192	0.0259129	290983	15.422	2.35067	-0.362975	-0.50965800000000006	3.72899e-4	3.71783e-4	4.146946857
Edisa	M11	0	0	18907712	19200405	8640000	9040000	0.143769	0.0739567	301770	14.0667	2.03548	-0.261901	-0.399528	7.23317e-4	7.16641e-4	4.243318123
Eembla	M11	0	0	18451797	18721418	7600000	9400000	-0.0232046	0.0699607	298933	14.0088	2.0358	-0.335234	-0.440233	0.00148471	0.00148507	4.017648177
Eepiphron	M11	6	0	17529094	56014570	12200000	3840000	0.316905	0.0932368	289288	4.76019	2.02938	-0.885494	-0.887708	0.00123609	0.0012261800000000001	3.775300857
Eeriphyle	M11	0	0	16442307	16811643	7920000	7920000	0.153521	0.0346642	288055	8.69224	2.05573	-0.313752	-0.352716	8.07068e-4	8.00908e-4	6.09116501
Eflavofasciata	M11	4	0	17673505	18014361	7600000	9200000	-0.017171	0.0405718	282623	7.71153	2.34524	-0.425089	-0.506567	6.59732e-4	6.58218e-4	3.962885134
Egorge	M11	3	0	15194334	27196207	12320000	2360000	0.460885	0.1994	287902	8.68852	2.18188	-0.533601	-0.572984	6.83578e-4	6.8289e-4	4.239625914
Eligea	M11	0	0	16808264	17119051	7800000	7920000	0.199486	0.0253913	295582	0.786613	2.49279	-0.369505	-0.473572	0.00229084	0.00226107	4.766536957
Emanto	M11	0	0	16711768	16997760	6920000	9000000	-0.138677	0.0420305	299574	21.3059	2.30695	-0.376292	-0.526065	3.33517e-4	3.34759e-4	3.449965707
Emedusa	M11	5	0	15429326	44870653	1280000	13280000	-0.495774	0.215036	299020	7.55659	2.20714	-0.826269	-0.817807	2.68792e-4	2.68948e-4	2.729160219
Emelampus	M11	2	0	15668574	33101097	6440000	8440000	-0.206438	0.0244363	265175	6.60851	2.17176	-0.561786	-0.606206	4.67457e-4	4.67093e-4	3.931916489
Emelancholica	M11	6	0	16070314	34916912	5800000	9680000	-0.269189	0.0589464	256016	8.97484	2.12436	-0.509781	-0.54285	7.48257e-4	7.50424e-4	3.696594534
Emeolans	M11	5	0	15372218	26430923	2840000	12080000	-0.499181	0.185067	301347	9.8024	2.073	-0.678972	-0.682814	3.54531e-4	3.53958e-4	3.760183781
Emnestra	M11	3	0	14552608	26784248	2080000	11960000	-0.587731	0.178845	294830	9.09686	2.14516	-0.594076	-0.633032	4.00664e-4	4.03723e-4	4.121955187
Epalarica	M11	5	0	15967616	26909467	1640000	13680000	-0.593985	0.1431	292302	5.71432	2.47261	-0.699426	-0.811672	0.0010171	0.00102974	2.959867865
Epharte	M11	6	0	20522229	20544297	10160000	3520000	0.403191	0.0883611	543894	2.16327	2.60551	-0.401118	-0.610489	0.00250084	0.00249373	4.221225421
Epronoe	M11	5	0	15457819	15537202	9840000	2640000	0.440033	0.0390816	424600	3.49834	2.75184	-0.628259	-0.716949	0.00272534	0.00273261	3.925278851
Erondoui	M11	3	11	17008897	20235821	8880000	7160000	0.242597	0.0217238	311858	14.8637	2.03668	-0.41029	-0.47721	6.60522e-4	6.65394e-4	3.979090087
Estirius	M11	7	0	16513632	35319501	6800000	8800000	-0.150965	0.0242271	301538	4.36162	2.15922	-0.454481	-0.481796	4.9893e-4	4.95724e-4	1.351462724
Esudetica	M11	2	0	15813033	33653295	6680000	8200000	-0.223906	0.0717786	287264	9.04203	2.26171	-0.577789	-0.719383	3.71725e-4	3.71252e-4	4.052369268
Etriaria	M11	5	0	15532916	43386010	2000000	12880000	-0.476873	0.173436	285208	6.54366	2.19349	-0.780588	-0.814185	8.38891e-4	8.49402e-4	3.092192195
Mcinxia	M11	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mjurtina	M11	0	0	13242857	13253843	NA	NA	NA	NA	275261	27.4831	2.05528	-0.265338	-0.312341	4.00409e-4	4.00591e-4	3.815855316
X2575	M11	0	0	17114926	17420321	7800000	8360000	0.143189	0.0285379	301182	3.13117	2.31491	-0.371984	-0.418526	0.00161524	0.00162122	4.937400364
X2576	M11	0	0	18055573	18355021	8400000	8200000	0.168216	0.0513027	291050	3.12536	2.32608	-0.426846	-0.467568	0.00169511	0.00170828	4.241500047
X3252	M11	0	0	17434244	17816364	7200000	8800000	-0.131016	0.0727203	363617	7.34929	2.41512	-0.220903	-0.297147	0.00130028	0.00130785	3.934808358
X3258	M11	5	10	15163593	33368692	6760000	7520000	-0.0307282	0.0622204	287423	3.5991	2.17056	-0.566864	-0.603255	0.00126242	0.00127057	4.644036817
X3311	M11	5	0	14769550	34657205	6640000	7560000	0.0266576	0.0332579	251053	3.69534	2.13559	-0.534835	-0.545894	0.00181598	0.00185005	4.08127763
X3506	M11	5	0	17372747	17885883	8240000	7600000	0.17241	0.047622	274672	1.28519	2.26345	-0.522579	-0.575247	9.45369e-4	9.39466e-4	5.837749034
X3531	M11	3	11	15542410	33914588	7120000	7560000	-0.136105	0.0266909	265386	1.26684	2.24947	-0.652681	-0.66396	0.00131246	0.00131331	5.330943555
X3737	M11	5	10	16219249	53552572	9280000	6040000	0.302264	0.0308259	297038	0.946287	2.0803	-0.957095	-0.92963	0.00144598	0.00144324	4.404317875
C0001	M12	3	0	16740716	16827620	7040000	9160000	-0.118641	0.0419652	246109	9.42192	2.44061	-0.411715	-0.570155	0.0010259	0.00102911	2.975340975
C0055	M12	1	2	17807401	12571900	6640000	10160000	-0.254915	0.0644868	280129	3.86128	2.33292	-0.355446	-0.599034	0.00145401	0.00145616	4.009392795
C0080	M12	4	10	17418535	70805572	5680000	11000000	-0.400937	0.168886	294322	1.19086	2.33609	-0.730485	-0.831288	4.62769e-4	4.61504e-4	3.11309959
C0100	M12	3	10	17927316	8528477	7640000	9640000	0.140575	0.0513699	299696	29.7477	2.34717	-0.112503	-0.112503	2.70409e-4	2.7086e-4	3.669948821
Eaethiops	M12	3	0	17161218	33210166	6360000	9640000	-0.207291	0.0843033	339580	11.284	2.63161	-0.452023	-0.542469	8.58286e-4	8.6207e-4	2.601310587
Ealbergana	M12	3	0	17102447	27470423	5360000	10320000	-0.243885	0.00234517	836600	1.3859	3.34627	-1.00608	-1.11124	0.00153728	0.00153617	3.650822243
Ebubastis	M12	0	0	19161652	19189385	13600000	4560000	0.323355	0.0714037	312017	14.6405	2.15583	-0.251479	-0.490009	2.30801e-4	2.29723e-4	3.219252195
Echristi	M12	4	0	20159038	20168143	15080000	4320000	0.330522	0.0428647	347946	13.8332	2.42862	-0.423511	-0.603997	3.70437e-4	3.69673e-4	3.011825634
Edisa	M12	0	0	21626807	22036875	15240000	4440000	0.358901	0.0733647	319742	12.096	2.10679	-0.26827	-0.564848	7.0489e-4	7.06511e-4	3.43786834
Eembla	M12	0	0	20785071	20867828	15120000	4200000	0.324231	0.072619	304045	12.366	2.0851	-0.290765	-0.495318	0.00152503	0.00153588	3.095543217
Eepiphron	M12	5	0	19024844	19080431	13520000	4000000	0.317408	0.0884495	286312	15.5672	2.06533	-0.586511	-0.807681	0.00123865	0.00123379	2.953114025
Eeriphyle	M12	0	0	18564861	18578906	10440000	7360000	0.248415	0.0467117	300583	7.89742	2.14641	-0.286645	-0.464431	7.64025e-4	7.70215e-4	4.964208275
Eflavofasciata	M12	4	0	19000641	42941423	3800000	14440000	-0.424475	0.134122	287379	2.62323	2.40545	-0.601676	-0.674187	6.72275e-4	6.65741e-4	2.4206946
Egorge	M12	3	0	17542017	17587717	11600000	5360000	0.280187	0.0463395	297351	13.4892	2.21178	-0.323156	-0.542886	6.68283e-4	6.64905e-4	3.413301371
Eligea	M12	0	0	19141221	19184606	12960000	4760000	0.36216	0.0523251	275836	0.642226	2.56604	-0.395478	-0.568971	0.00233436	0.00236758	3.710872132
Emanto	M12	0	0	19257711	19263840	6280000	12120000	-0.291525	0.0531013	310367	18.5184	2.40024	-0.387962	-0.60651	3.41115e-4	3.42395e-4	2.732229836
Emedusa	M12	5	0	17577468	35353868	1920000	14720000	-0.413876	0.0348484	310352	9.52798	2.27909	-0.565209	-0.683477	2.82351e-4	2.78022e-4	2.10966269
Emelampus	M12	2	0	17174135	33101097	4800000	11720000	-0.307999	0.0840686	301179	6.69452	2.23526	-0.461917	-0.625901	4.43869e-4	4.45104e-4	2.584070027
Emelancholica	M12	6	2	18809259	34916912	5520000	12320000	-0.305458	0.034093	301746	8.83767	2.17443	-0.426078	-0.567227	7.63796e-4	7.67694e-4	2.46309139
Emeolans	M12	5	0	18202537	36933053	5800000	11760000	-0.260552	0.0931015	287613	6.34943	2.09725	-0.588982	-0.723287	3.76658e-4	3.74618e-4	2.504921791
Emnestra	M12	3	0	16088147	30938836	4680000	10840000	-0.356947	0.0674524	297415	6.69171	2.17166	-0.542904	-0.670844	3.98056e-4	3.97212e-4	2.565567023
Emontana	M12	6	2	19543383	19558752	14160000	4400000	0.296454	0.070908	319254	16.865	2.19874	-0.139461	-0.359181	2.12748e-4	2.10908e-4	3.087788428
Epalarica	M12	5	0	18693458	38426503	6280000	11720000	-0.152216	0.0842101	278015	3.58015	2.53524	-0.840892	-0.957366	0.00105279	0.00106581	2.290447647
Epharte	M12	5	0	22212479	46894978	12840000	2560000	0.5315	0.0848743	444043	1.06136	2.76186	-0.87752	-0.80872	0.0025727	0.00258529	2.828574048
Epronoe	M12	5	2	18456796	18497599	11120000	3240000	0.445198	0.0528237	520147	3.03978	2.83073	-0.64303	-0.752407	0.00270417	0.00270966	2.81441216
Erondoui	M12	3	11	19671077	18527300	13120000	5480000	0.266457	0.123137	328044	17.7465	2.14645	-0.212732	-0.460449	6.45094e-4	6.43047e-4	3.086342616
Estirius	M12	6	2	18611084	18718785	5800000	11880000	-0.299491	0.0551113	295541	8.50209	2.26014	-0.428833	-0.538492	5.08963e-4	5.08667e-4	3.053127658
Esudetica	M12	2	0	17604483	33653295	5000000	11600000	-0.368515	0.0741187	298155	9.11128	2.39241	-0.498898	-0.71767	3.83201e-4	3.79215e-4	2.577218673
Etriaria	M12	5	0	16584365	33870043	3280000	12760000	-0.425403	0.0277113	305868	8.43127	2.30853	-0.563817	-0.717114	8.17747e-4	8.2007e-4	2.692437306
Mcinxia	M12	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mjurtina	M12	0	0	15358694	15410841	NA	NA	NA	NA	276056	23.6002	2.11354	-0.29406	-0.356525	3.90069e-4	3.90621e-4	3.029217569
X2575	M12	0	0	19802056	19822844	13600000	4960000	0.32244	0.0477777	310000	2.67982	2.39277	-0.426424	-0.541259	0.00162776	0.00162598	3.412891327
X2576	M12	0	0	20531443	20611143	9720000	9240000	0.169262	0.0627226	294060	2.69537	2.40297	-0.474189	-0.545773	0.00170931	0.00170892	3.292409667
X3252	M12	0	0	19888495	19941020	5920000	12600000	-0.241608	0.0695158	350333	6.2529	2.4888	-0.215534	-0.380499	0.00122356	0.00122349	3.156743587
X3258	M12	5	10	17460879	33368692	5400000	11160000	-0.199285	0.0467347	316630	3.48868	2.24628	-0.588097	-0.672062	0.00129931	0.00130874	3.294050767
X3311	M12	5	2	16858758	21604300	6800000	9480000	0.0477526	0.0784418	270800	6.87684	2.18592	-0.482785	-0.613892	0.00185121	0.00186332	2.903823636
X3506	M12	5	2	19326279	19351105	8720000	9280000	0.193351	0.0518358	270826	1.24433	2.38591	-0.412293	-0.530736	8.83252e-4	8.82824e-4	4.268056605
X3531	M12	3	11	17639854	33914588	6800000	9840000	-0.293479	0.0632	262075	1.29079	2.29408	-0.578671	-0.717154	0.00134804	0.00134099	4.013904338
X3737	M12	5	10	17209334	53552572	7840000	8640000	0.16908	0.1702	280869	1.22626	2.1438	-0.660361	-0.783239	0.00151535	0.00150779	3.639761839
C0001	M13	6	0	13839256	32829219	6120000	7160000	0.0771665	0.113375	276633	4.41388	2.47197	-0.498739	-0.562438	0.00104962	0.00105565	2.688620993
C0055	M13	1	2	14603091	9798053	5640000	7840000	-0.101481	0.0587815	293065	7.25767	2.387	-0.268135	-0.268135	0.00145277	0.0013906	3.125515323
C0080	M13	6	13	14786199	100512774	9240000	4680000	0.371999	0.12195	308340	0.631543	2.41164	-0.957913	-0.949185	5.35069e-4	5.36056e-4	2.923051436
C0100	M13	4	13	14661382	10524300	5400000	8680000	-0.101489	0.0754218	325093	26.043	2.33713	0.144085	0.144085	2.72655e-4	2.71814e-4	3.336555251
Eaethiops	M13	3	0	13790236	30399708	3480000	9080000	-0.281847	0.109979	323073	12.3071	2.6719	-0.403977	-0.445556	8.65619e-4	8.66991e-4	2.421457872
Ealbergana	M13	3	0	13567154	46340248	6720000	5880000	0.106688	0.0099441	897769	1.25481	3.34901	-0.738658	-0.815819	0.00157675	0.0015785	2.06969694
Ebubastis	M13	0	0	15846877	15864159	10480000	4120000	0.33935	0.0785451	324000	18.6226	2.1857	-0.214182	-0.334867	2.50504e-4	2.53062e-4	2.635481007
Echristi	M13	5	0	16007499	36476290	3160000	12320000	-0.414409	0.0992409	287436	7.30868	2.46387	-0.523143	-0.563301	3.70305e-4	3.69802e-4	0.859371626
Edisa	M13	0	0	17502354	17557210	3680000	12160000	-0.343709	0.0689842	347439	16.6616	2.07592	-0.359126	-0.447786	6.48709e-4	6.47373e-4	3.989050401
