species	chrom	size	ratio_inter_intra
X3506	scaffold_24	6508605	544.3333
X3506	scaffold_3	27078367	1.5889
X3506	scaffold_4	23801230	2.1195
X3506	scaffold_5	23562929	1.7401
X3506	scaffold_6	22931906	2.1453
X3506	scaffold_7	22202305	2.3041
X3506	scaffold_8	21240467	2.1433
X3506	scaffold_9	21435757	2.257
X3531	scaffold_1	72576046	1.4503
X3531	scaffold_10	34192860	2.6717
X3531	scaffold_11	29969229	NA
X3531	scaffold_2	62391918	0.8211
X3531	scaffold_3	60709208	1.7957
X3531	scaffold_4	58421957	1.5942
X3531	scaffold_5	55683060	1.7723
X3531	scaffold_6	53756506	1.7844
X3531	scaffold_7	46193233	2.3709
X3531	scaffold_8	36501054	2.4566
X3531	scaffold_9	35709248	2.7107
X3737	scaffold_1	73472807	1.935
X3737	scaffold_10	34581850	3.9947
X3737	scaffold_11	30516839	NA
X3737	scaffold_2	59893378	1.2056
X3737	scaffold_3	53868344	2.428
X3737	scaffold_4	53298135	2.2756
X3737	scaffold_5	50911320	2.5347
X3737	scaffold_6	44972102	3.4807
X3737	scaffold_7	42855700	3.4031
X3737	scaffold_8	46598952	2.8274
X3737	scaffold_9	35367999	4.7121
Eaethiops	scaffold_1	33250929	24.9305
Eaethiops	scaffold_10	20447687	41.4431
Eaethiops	scaffold_11	20147788	41.7952
Eaethiops	scaffold_12	19454486	43.2076
Eaethiops	scaffold_13	19295961	45.4569
Eaethiops	scaffold_14	18418799	48.7013
Eaethiops	scaffold_15	17949451	46.9579
Eaethiops	scaffold_16	17052335	50.4718
Eaethiops	scaffold_17	15924777	53.6052
Eaethiops	scaffold_18	15759670	56.3218
Eaethiops	scaffold_19	3109463	682.2576
Eaethiops	scaffold_2	32763723	25.5449
Eaethiops	scaffold_20	37954409	20.9983
Eaethiops	scaffold_3	32718998	24.9373
Eaethiops	scaffold_4	30437488	27.1959
Eaethiops	scaffold_5	30006606	31.3073
Eaethiops	scaffold_6	26256363	31.7681
Eaethiops	scaffold_7	25856419	32.2126
Eaethiops	scaffold_8	23962118	35.5119
Eaethiops	scaffold_9	20717660	42.7276
Ealbergana	scaffold_1	46360880	2.3265
Ealbergana	scaffold_10	20460364	2.8829
Ealbergana	scaffold_11	20242725	2.9919
Ealbergana	scaffold_12	19062536	3.2078
Ealbergana	scaffold_13	18738826	3.3232
Ealbergana	scaffold_14	17637637	3.4921
Ealbergana	scaffold_15	16303918	3.8402
Ealbergana	scaffold_16	15757110	3.9088
Ealbergana	scaffold_17	7410104	71.5
Ealbergana	scaffold_18	39971635	1.3058
Ealbergana	scaffold_2	43217568	2.4802
Ealbergana	scaffold_3	34726629	2.473
Ealbergana	scaffold_4	34011480	2.6103
Ealbergana	scaffold_5	31883850	2.7446
Ealbergana	scaffold_6	27824556	2.9985
Ealbergana	scaffold_7	25329252	3.8016
Ealbergana	scaffold_8	25252892	3.243
Ealbergana	scaffold_9	21518286	3.1618
Ebubastis	scaffold_1	22986840	24.8622
Ebubastis	scaffold_10	19201147	29.8088
Ebubastis	scaffold_11	18986437	31.3014
Ebubastis	scaffold_12	18702882	30.5396
Ebubastis	scaffold_13	18315032	31.5584
Ebubastis	scaffold_14	18295095	31.2842
Ebubastis	scaffold_15	18214182	32.6001
Ebubastis	scaffold_16	17440534	32.8672
Ebubastis	scaffold_17	17191674	34.0709
Ebubastis	scaffold_18	17172653	33.829
Ebubastis	scaffold_19	17147511	34.4043
Ebubastis	scaffold_2	22325710	24.8872
Ebubastis	scaffold_20	16609399	35.5445
Ebubastis	scaffold_21	15887365	38.0578
Ebubastis	scaffold_22	15566855	37.3034
Ebubastis	scaffold_23	12767045	41.4301
Ebubastis	scaffold_24	12355907	50.3379
Ebubastis	scaffold_25	12124795	50.2464
Ebubastis	scaffold_26	10630552	63.9244
Ebubastis	scaffold_27	10563649	61.0434
Ebubastis	scaffold_28	9320058	68.0577
Ebubastis	scaffold_29	13875637	NA
Ebubastis	scaffold_3	21903338	26.0323
Ebubastis	scaffold_30	22294515	14.2147
Ebubastis	scaffold_4	21897319	26.3121
Ebubastis	scaffold_5	21755032	26.394
Ebubastis	scaffold_6	20834264	26.7819
Ebubastis	scaffold_7	20459521	27.5983
Ebubastis	scaffold_8	20265689	27.9693
Ebubastis	scaffold_9	19886169	28.5225
Echristi	scaffold_1	41742025	14.2578
Echristi	scaffold_10	23334137	27.3846
Echristi	scaffold_11	22723882	27.6397
Echristi	scaffold_12	22454076	28.6548
Echristi	scaffold_13	21775181	30.4384
Echristi	scaffold_14	20424618	31.1792
Echristi	scaffold_15	19748295	32.8689
Echristi	scaffold_16	19578592	33.0692
Echristi	scaffold_17	18449745	34.8639
Echristi	scaffold_18	18406025	35.0691
Echristi	scaffold_19	18290701	36.9169
Echristi	scaffold_2	36620102	16.327
Echristi	scaffold_20	59746258	9.9128
Echristi	scaffold_3	36061811	16.5801
Echristi	scaffold_4	34901154	18.3213
Echristi	scaffold_5	31280601	20.127
Echristi	scaffold_6	27462422	22.8746
Echristi	scaffold_7	24459085	25.8913
Echristi	scaffold_8	24410452	26.6243
Echristi	scaffold_9	23725716	26.9418
Edisa	scaffold_1	26776436	20.2642
Edisa	scaffold_10	22169054	25.3143
Edisa	scaffold_11	22027339	24.9177
Edisa	scaffold_12	21395152	27.6116
Edisa	scaffold_13	21105034	26.1259
Edisa	scaffold_14	20828408	27.5521
Edisa	scaffold_15	20633008	28.2943
Edisa	scaffold_16	19736432	29.33
Edisa	scaffold_17	19491559	29.8902
Edisa	scaffold_18	19309229	30.4527
Edisa	scaffold_19	19285784	29.5568
Edisa	scaffold_2	26117765	21.3497
Edisa	scaffold_20	19149958	30.3865
Edisa	scaffold_21	17573617	34.9188
Edisa	scaffold_22	17292476	32.3001
Edisa	scaffold_23	16418615	35.5551
Edisa	scaffold_24	13771488	45.3281
Edisa	scaffold_25	13740607	46.0022
Edisa	scaffold_26	11909551	58.8861
Edisa	scaffold_27	10227347	66.4435
Edisa	scaffold_28	9644264	68.9603
Edisa	scaffold_29	26161892	21.7316
Edisa	scaffold_3	25720385	22.2032
Edisa	scaffold_4	24594238	22.9735
Edisa	scaffold_5	24390302	23.4045
Edisa	scaffold_6	24291519	22.5977
Edisa	scaffold_7	23759800	23.162
Edisa	scaffold_8	23616118	23.2711
Edisa	scaffold_9	22499406	24.6078
Eembla	scaffold_1	25851262	20.2197
Eembla	scaffold_10	21045373	24.7138
Eembla	scaffold_11	20979829	24.7425
Eembla	scaffold_12	20929199	26.7322
Eembla	scaffold_13	20893549	25.2127
Eembla	scaffold_14	20822550	26.0444
Eembla	scaffold_15	20131644	27.0182
Eembla	scaffold_16	19246899	28.1611
Eembla	scaffold_17	19109812	28.359
Eembla	scaffold_18	18735975	28.6876
Eembla	scaffold_19	18631600	29.4661
Eembla	scaffold_2	24744570	21.1787
Eembla	scaffold_20	18438963	31.8219
Eembla	scaffold_21	17920257	30.7049
Eembla	scaffold_22	17691042	32.2263
Eembla	scaffold_23	16347135	31.5652
Eembla	scaffold_24	14003619	44.423
Eembla	scaffold_25	12546854	48.2311
Eembla	scaffold_26	12088702	49.1567
Eembla	scaffold_27	10436196	60.6155
Eembla	scaffold_28	9268108	63.2255
Eembla	scaffold_29	28056099	10.0303
Eembla	scaffold_3	24171992	22.3296
Eembla	scaffold_4	24018609	21.9577
Eembla	scaffold_5	23420420	21.9983
Eembla	scaffold_6	23055559	22.735
Eembla	scaffold_7	22960944	23.0281
Eembla	scaffold_8	22613205	23.2614
Eembla	scaffold_9	22212404	23.7461
Eepiphron	scaffold_1	56060275	10.8123
Eepiphron	scaffold_10	23120909	29.7634
Eepiphron	scaffold_11	22599830	31.0148
Eepiphron	scaffold_12	21369120	33.1677
Eepiphron	scaffold_13	19385403	34.6597
Eepiphron	scaffold_14	19263979	36.7763
Eepiphron	scaffold_15	19160422	35.3152
Eepiphron	scaffold_16	56356172	10.94
Eepiphron	scaffold_2	52294076	11.7129
Eepiphron	scaffold_3	44545365	14.8592
Eepiphron	scaffold_4	38974291	16.9487
Eepiphron	scaffold_5	35217598	18.0204
Eepiphron	scaffold_6	32370894	22.1264
Eepiphron	scaffold_7	30697917	20.9386
Eepiphron	scaffold_8	26402473	25.8183
Eepiphron	scaffold_9	24050510	28.8297
Eeriphyle	scaffold_1	22337439	13.1654
Eeriphyle	scaffold_10	18586165	16.09
Eeriphyle	scaffold_11	18414486	16.7908
Eeriphyle	scaffold_12	18316001	16.2533
Eeriphyle	scaffold_13	18305368	16.2927
Eeriphyle	scaffold_14	18262779	17.3966
Eeriphyle	scaffold_15	17983595	17.0236
Eeriphyle	scaffold_16	17436064	17.9502
Eeriphyle	scaffold_17	17034071	17.8895
Eeriphyle	scaffold_18	16829591	17.782
Eeriphyle	scaffold_19	16828939	18.3047
Eeriphyle	scaffold_2	21456145	13.8122
Eeriphyle	scaffold_20	16639128	19.1724
Eeriphyle	scaffold_21	15951482	19.8433
Eeriphyle	scaffold_22	15110505	20.2323
Eeriphyle	scaffold_23	12727710	18.0068
Eeriphyle	scaffold_24	12671268	26.4048
Eeriphyle	scaffold_25	11807194	29.8339
Eeriphyle	scaffold_26	10751925	32.1609
Eeriphyle	scaffold_27	9191859	39.1646
Eeriphyle	scaffold_28	9177105	33.7712
Eeriphyle	scaffold_29	2900013	1826.6667
Eeriphyle	scaffold_3	21227227	14.5696
Eeriphyle	scaffold_30	23339978	5.0407
Eeriphyle	scaffold_4	20836187	13.8911
Eeriphyle	scaffold_5	20636382	15.2367
Eeriphyle	scaffold_6	20317116	14.0383
Eeriphyle	scaffold_7	20313186	14.4559
Eeriphyle	scaffold_8	19573350	15.8162
Eeriphyle	scaffold_9	18882340	15.9356
Eflavofasciata	scaffold_1	43029883	5.6957
Eflavofasciata	scaffold_10	22912776	12.5912
Eflavofasciata	scaffold_11	22019391	12.705
Eflavofasciata	scaffold_12	21852660	13.7629
Eflavofasciata	scaffold_13	21771711	13.487
Eflavofasciata	scaffold_14	21435412	13.1449
Eflavofasciata	scaffold_15	19548198	14.3424
Eflavofasciata	scaffold_16	19354820	15.1021
Eflavofasciata	scaffold_17	19282137	15.9551
Eflavofasciata	scaffold_18	18614028	15.3935
Eflavofasciata	scaffold_19	18149235	15.933
Eflavofasciata	scaffold_2	60335663	1.7626
Eflavofasciata	scaffold_20	18101694	16.3211
Eflavofasciata	scaffold_21	90188955	375
Eflavofasciata	scaffold_3	42493033	5.5827
Eflavofasciata	scaffold_4	30575191	2.6971
Eflavofasciata	scaffold_5	35578783	7.0049
Eflavofasciata	scaffold_6	30971213	8.2739
Eflavofasciata	scaffold_7	23877205	11.2962
Eflavofasciata	scaffold_8	23613216	12.0502
Eflavofasciata	scaffold_9	23468549	11.9951
Egorge	scaffold_1	36679467	12.9118
Egorge	scaffold_10	19258961	25.8627
Egorge	scaffold_11	18917448	26.9178
Egorge	scaffold_12	17775117	28.1352
Egorge	scaffold_13	17645256	28.1847
Egorge	scaffold_14	17528659	28.5695
Egorge	scaffold_15	17234039	29.9175
Egorge	scaffold_16	17111873	29.224
Egorge	scaffold_17	16806974	29.532
Egorge	scaffold_18	16495684	30.0362
Egorge	scaffold_19	3254584	322.7048
Egorge	scaffold_2	36211071	12.5496
Egorge	scaffold_20	31524779	NA
Egorge	scaffold_21	41471319	5.9399
Egorge	scaffold_3	35948615	13.0423
Egorge	scaffold_4	33913849	13.1023
Egorge	scaffold_5	33211283	14.3926
Egorge	scaffold_6	31961926	15.071
Egorge	scaffold_7	27292286	16.9344
Egorge	scaffold_8	20333018	23.5716
Egorge	scaffold_9	20011755	25.2765
Eligea	scaffold_1	22722498	1.2272
Eligea	scaffold_10	19308094	1.3602
Eligea	scaffold_11	19222650	1.3431
Eligea	scaffold_12	19149538	1.4758
Eligea	scaffold_13	18887656	1.4853
Eligea	scaffold_14	18503831	1.52
Eligea	scaffold_15	18360966	1.6471
Eligea	scaffold_16	17538717	1.5604
Eligea	scaffold_17	17224156	1.6761
Eligea	scaffold_18	16815826	1.5924
Eligea	scaffold_19	16815746	1.7148
Eligea	scaffold_2	22111991	1.3023
Eligea	scaffold_20	16643629	1.7022
Eligea	scaffold_21	15512777	1.9452
Eligea	scaffold_22	15261769	2.1469
Eligea	scaffold_23	12471568	2.701
Eligea	scaffold_24	12368103	2.3976
Eligea	scaffold_25	11938575	2.6702
Eligea	scaffold_26	10276669	3.436
Eligea	scaffold_27	9222146	3.7275
Eligea	scaffold_28	8136713	5.226
Eligea	scaffold_29	21639543	1.2366
Eligea	scaffold_3	22009152	1.1195
Eligea	scaffold_4	21419478	1.4076
Eligea	scaffold_5	20971809	1.2865
Eligea	scaffold_6	20769560	1.1753
Eligea	scaffold_7	20520507	1.256
Eligea	scaffold_8	20105321	1.3416
Eligea	scaffold_9	20064828	1.4358
Emanto	scaffold_1	22987716	31.9736
Emanto	scaffold_10	19346989	38.0229
Emanto	scaffold_11	18983355	38.933
Emanto	scaffold_12	18696045	40.1705
Emanto	scaffold_13	18594484	40.5596
Emanto	scaffold_14	18529153	40.2922
Emanto	scaffold_15	18415714	40.5833
Emanto	scaffold_16	17580000	42.2396
Emanto	scaffold_17	17346501	43.3836
Emanto	scaffold_18	17189678	44.4382
Emanto	scaffold_19	17073414	44.1126
Emanto	scaffold_2	22018614	33.0138
Emanto	scaffold_20	17013477	43.7513
Emanto	scaffold_21	15991637	46.0653
Emanto	scaffold_22	15524920	49.8813
Emanto	scaffold_23	13029701	58.917
Emanto	scaffold_24	12640756	62.709
Emanto	scaffold_25	12278402	63.5747
Emanto	scaffold_26	10827013	73.9339
Emanto	scaffold_27	9797470	87.6285
Emanto	scaffold_28	9788017	90.4522
Emanto	scaffold_29	22058811	24.522
Emanto	scaffold_3	21930229	33.4574
Emanto	scaffold_4	21799136	35.4211
Emanto	scaffold_5	21334950	35.1576
Emanto	scaffold_6	20927468	35.1772
Emanto	scaffold_7	20207998	37.277
Emanto	scaffold_8	20166539	36.2214
Emanto	scaffold_9	19645308	37.8011
Emedusa	scaffold_1	67893953	9.942
Emedusa	scaffold_10	28841450	26.035
Emedusa	scaffold_11	60275483	4543
Emedusa	scaffold_12	56880843	9.0518
Emedusa	scaffold_2	57786388	12.0215
Emedusa	scaffold_3	45008143	16.2386
Emedusa	scaffold_4	44890541	16.2859
Emedusa	scaffold_5	38500511	19.0771
Emedusa	scaffold_6	35859892	20.7799
Emedusa	scaffold_7	35842847	21.4793
Emedusa	scaffold_8	35392068	21.045
Emedusa	scaffold_9	34437030	21.4958
Emelampus	scaffold_1	35554685	13.3838
Emelampus	scaffold_10	20054411	26.5232
Emelampus	scaffold_11	19774127	27.303
Emelampus	scaffold_12	19476446	26.409
Emelampus	scaffold_13	18587889	27.5777
Emelampus	scaffold_14	17881683	30.5182
Emelampus	scaffold_15	17268297	30.4713
Emelampus	scaffold_16	17058878	31.5815
Emelampus	scaffold_17	17012596	32.219
Emelampus	scaffold_18	16623595	33.8495
Emelampus	scaffold_19	16525452	32.2182
Emelampus	scaffold_2	33111916	14.0705
Emelampus	scaffold_20	8632825	3899
Emelampus	scaffold_21	47858893	5.8048
Emelampus	scaffold_3	32831114	14.0702
Emelampus	scaffold_4	28166641	16.6598
Emelampus	scaffold_5	26919463	18.171
Emelampus	scaffold_6	22006953	23.9396
Emelampus	scaffold_7	21414792	24.2934
Emelampus	scaffold_8	20514404	25.2043
Emelampus	scaffold_9	20474587	24.4246
Emelancholica	scaffold_1	48616380	12.3745
Emelancholica	scaffold_10	19487202	38.4558
Emelancholica	scaffold_11	19286279	37.3643
Emelancholica	scaffold_12	18815746	39.5011
Emelancholica	scaffold_13	18117148	40.1416
Emelancholica	scaffold_14	17999713	40.7874
Emelancholica	scaffold_15	17907027	41.3837
Emelancholica	scaffold_16	17560624	41.2918
Emelancholica	scaffold_17	17138678	42.3269
Emelancholica	scaffold_18	17045919	43.7241
Emelancholica	scaffold_19	16840518	43.2864
Emelancholica	scaffold_2	35190504	18.7837
Emelancholica	scaffold_20	16739453	43.4916
Emelancholica	scaffold_21	16132322	45.2305
Emelancholica	scaffold_22	6725303	NA
Emelancholica	scaffold_23	37927607	11.2996
Emelancholica	scaffold_3	25285350	27.573
Emelancholica	scaffold_4	21843077	33.303
Emelancholica	scaffold_5	21345958	33.6477
Emelancholica	scaffold_6	20988759	34.131
Emelancholica	scaffold_7	20852165	35.2684
Emelancholica	scaffold_8	20098176	35.244
Emelancholica	scaffold_9	19699574	36.113
Emeolans	scaffold_1	56874635	8.0922
Emeolans	scaffold_10	27418910	18.9735
Emeolans	scaffold_11	26521046	19.286
Emeolans	scaffold_12	22505455	25.3084
Emeolans	scaffold_13	21745052	24.2108
Emeolans	scaffold_14	10760231	NA
Emeolans	scaffold_15	37962353	6.8516
Emeolans	scaffold_2	38156413	12.9842
Emeolans	scaffold_3	37620665	12.9161
Emeolans	scaffold_4	37166211	13.1458
Emeolans	scaffold_5	36945791	13.2577
Emeolans	scaffold_6	35844204	13.5907
Emeolans	scaffold_7	34087700	14.6082
Emeolans	scaffold_8	32110164	15.5717
Emeolans	scaffold_9	31506641	16.0612
Emnestra	scaffold_1	66543349	6.4938
Emnestra	scaffold_10	27065937	18.8865
Emnestra	scaffold_11	20428264	26.9028
Emnestra	scaffold_12	38483835	12.4807
Emnestra	scaffold_2	49682240	8.7259
Emnestra	scaffold_3	41213121	10.638
Emnestra	scaffold_4	39859245	11.5242
Emnestra	scaffold_5	35659137	12.6897
Emnestra	scaffold_6	34020831	13.7273
Emnestra	scaffold_7	32972964	14.1289
Emnestra	scaffold_8	31186677	14.8952
Emnestra	scaffold_9	30953291	14.9803
Emontana	scaffold_1	54770530	10.7386
Emontana	scaffold_10	21588913	31.4666
Emontana	scaffold_11	21434317	32.3184
Emontana	scaffold_12	21365565	31.8499
Emontana	scaffold_13	21170507	33.1805
Emontana	scaffold_14	20105574	34.3822
